"LSOA11CD","LSOA21CD","LinkCode","Households","LSOA11Denom","LSOA21Denom","Prop11of21","Prop21of11","Category"
"E01000135","E01000135","E01000135_E01000135",660,660,660,1,1,"U"
"E01000136","E01000136","E01000136_E01000136",559,559,559,1,1,"U"
"E01000137","E01000137","E01000137_E01000137",681,681,681,1,1,"U"
"E01000138","E01000138","E01000138_E01000138",676,676,676,1,1,"U"
"E01000139","E01000139","E01000139_E01000139",540,540,540,1,1,"U"
"E01000140","E01000140","E01000140_E01000140",811,811,811,1,1,"U"
"E01000141","E01000141","E01000141_E01000141",804,804,804,1,1,"U"
"E01000142","E01000142","E01000142_E01000142",845,845,845,1,1,"U"
"E01000143","E01000143","E01000143_E01000143",694,694,694,1,1,"U"
"E01000144","E01000144","E01000144_E01000144",744,744,744,1,1,"U"
"E01000145","E01000145","E01000145_E01000145",485,485,485,1,1,"U"
"E01000146","E01000146","E01000146_E01000146",862,862,862,1,1,"U"
"E01000147","E01000147","E01000147_E01000147",562,562,562,1,1,"U"
"E01000148","E01033923","E01000148_E01033923",599,1179,599,1,0.508057675996607,"S"
"E01000148","E01033924","E01000148_E01033924",580,1179,580,1,0.491942324003393,"S"
"E01000150","E01000150","E01000150_E01000150",773,773,773,1,1,"U"
"E01000151","E01000151","E01000151_E01000151",653,653,653,1,1,"U"
"E01000152","E01000152","E01000152_E01000152",927,927,927,1,1,"U"
"E01000153","E01000153","E01000153_E01000153",730,730,730,1,1,"U"
"E01000154","E01000154","E01000154_E01000154",698,698,698,1,1,"U"
"E01000155","E01033916","E01000155_E01033916",616,1974,616,1,0.312056737588652,"S"
"E01000155","E01033921","E01000155_E01033921",677,1974,677,1,0.342958459979737,"S"
"E01000155","E01033922","E01000155_E01033922",681,1974,681,1,0.344984802431611,"S"
"E01000156","E01000156","E01000156_E01000156",726,726,726,1,1,"U"
"E01000157","E01000157","E01000157_E01000157",677,677,677,1,1,"U"
"E01000158","E01000158","E01000158_E01000158",550,550,550,1,1,"U"
"E01000159","E01000159","E01000159_E01000159",645,645,645,1,1,"U"
"E01000160","E01000160","E01000160_E01000160",795,795,795,1,1,"U"
"E01000161","E01000161","E01000161_E01000161",819,819,819,1,1,"U"
"E01000162","E01000162","E01000162_E01000162",547,547,547,1,1,"U"
"E01000163","E01000163","E01000163_E01000163",786,786,786,1,1,"U"
"E01000164","E01000164","E01000164_E01000164",655,655,655,1,1,"U"
"E01000165","E01000165","E01000165_E01000165",708,708,708,1,1,"U"
"E01000166","E01000166","E01000166_E01000166",654,654,654,1,1,"U"
"E01000167","E01000167","E01000167_E01000167",521,521,521,1,1,"U"
"E01000168","E01000168","E01000168_E01000168",559,559,559,1,1,"U"
"E01000169","E01000169","E01000169_E01000169",699,699,699,1,1,"U"
"E01000170","E01000170","E01000170_E01000170",686,686,686,1,1,"U"
"E01000171","E01000171","E01000171_E01000171",991,991,991,1,1,"U"
"E01000172","E01000172","E01000172_E01000172",597,597,597,1,1,"U"
"E01000173","E01000173","E01000173_E01000173",606,606,606,1,1,"U"
"E01000174","E01000174","E01000174_E01000174",770,770,770,1,1,"U"
"E01000175","E01000175","E01000175_E01000175",657,657,657,1,1,"U"
"E01000176","E01000176","E01000176_E01000176",720,720,720,1,1,"U"
"E01000177","E01000177","E01000177_E01000177",701,701,701,1,1,"U"
"E01000178","E01000178","E01000178_E01000178",656,656,656,1,1,"U"
"E01000179","E01000179","E01000179_E01000179",782,782,782,1,1,"U"
"E01000180","E01000180","E01000180_E01000180",677,677,677,1,1,"U"
"E01000181","E01000181","E01000181_E01000181",683,683,683,1,1,"U"
"E01000182","E01000182","E01000182_E01000182",736,736,736,1,1,"U"
"E01000183","E01000183","E01000183_E01000183",596,596,596,1,1,"U"
"E01000184","E01000184","E01000184_E01000184",710,710,710,1,1,"U"
"E01000185","E01000185","E01000185_E01000185",642,642,642,1,1,"U"
"E01000186","E01000186","E01000186_E01000186",507,507,507,1,1,"U"
"E01000187","E01000187","E01000187_E01000187",593,593,593,1,1,"U"
"E01000188","E01000188","E01000188_E01000188",507,507,507,1,1,"U"
"E01000189","E01000189","E01000189_E01000189",987,987,987,1,1,"U"
