"LSOA11CD","LSOA21CD","LinkCode","TotPersons","LSOA11Denom","LSOA21Denom","Prop11of21","Prop21of11","Category"
"E01000130","E01000130","E01000130_E01000130",1932,1932,1932,1,1,"U"
"E01000131","E01000131","E01000131_E01000131",2082,2082,2082,1,1,"U"
"E01000132","E01000132","E01000132_E01000132",1619,1619,1619,1,1,"U"
"E01000133","E01000133","E01000133_E01000133",1639,1639,1639,1,1,"U"
"E01000134","E01000134","E01000134_E01000134",1819,1819,1819,1,1,"U"
"E01000135","E01000135","E01000135_E01000135",1784,1784,1784,1,1,"U"
"E01000136","E01000136","E01000136_E01000136",1477,1477,1477,1,1,"U"
"E01000137","E01000137","E01000137_E01000137",1680,1680,1680,1,1,"U"
"E01000138","E01000138","E01000138_E01000138",1673,1673,1673,1,1,"U"
"E01000139","E01000139","E01000139_E01000139",1376,1376,1376,1,1,"U"
"E01000140","E01000140","E01000140_E01000140",1840,1840,1840,1,1,"U"
"E01000141","E01000141","E01000141_E01000141",1893,1893,1893,1,1,"U"
"E01000142","E01000142","E01000142_E01000142",2125,2125,2125,1,1,"U"
"E01000143","E01000143","E01000143_E01000143",1697,1697,1697,1,1,"U"
"E01000144","E01000144","E01000144_E01000144",1660,1660,1660,1,1,"U"
"E01000145","E01000145","E01000145_E01000145",1612,1612,1612,1,1,"U"
"E01000146","E01000146","E01000146_E01000146",1870,1870,1870,1,1,"U"
"E01000147","E01000147","E01000147_E01000147",1907,1907,1907,1,1,"U"
"E01000148","E01033923","E01000148_E01033923",1603,3143,1603,1,0.510022271714922,"S"
"E01000148","E01033924","E01000148_E01033924",1540,3143,1540,1,0.489977728285078,"S"
"E01000150","E01000150","E01000150_E01000150",2253,2253,2253,1,1,"U"
"E01000151","E01000151","E01000151_E01000151",1720,1720,1720,1,1,"U"
"E01000152","E01000152","E01000152_E01000152",2698,2698,2698,1,1,"U"
"E01000153","E01000153","E01000153_E01000153",1925,1925,1925,1,1,"U"
"E01000154","E01000154","E01000154_E01000154",1915,1915,1915,1,1,"U"
"E01000155","E01033916","E01000155_E01033916",1405,5034,1405,1,0.279102105681367,"S"
"E01000155","E01033921","E01000155_E01033921",1624,5034,1624,1,0.322606277314263,"S"
"E01000155","E01033922","E01000155_E01033922",2005,5034,2005,1,0.39829161700437,"S"
"E01000156","E01000156","E01000156_E01000156",1955,1955,1955,1,1,"U"
"E01000157","E01000157","E01000157_E01000157",1595,1595,1595,1,1,"U"
"E01000158","E01000158","E01000158_E01000158",1469,1469,1469,1,1,"U"
"E01000159","E01000159","E01000159_E01000159",1761,1761,1761,1,1,"U"
"E01000160","E01000160","E01000160_E01000160",1957,1957,1957,1,1,"U"
"E01000161","E01000161","E01000161_E01000161",2177,2177,2177,1,1,"U"
"E01000162","E01000162","E01000162_E01000162",1538,1538,1538,1,1,"U"
"E01000163","E01000163","E01000163_E01000163",1657,1657,1657,1,1,"U"
"E01000164","E01000164","E01000164_E01000164",1734,1734,1734,1,1,"U"
"E01000165","E01000165","E01000165_E01000165",1764,1764,1764,1,1,"U"
"E01000166","E01000166","E01000166_E01000166",1620,1620,1620,1,1,"U"
"E01000167","E01000167","E01000167_E01000167",1391,1391,1391,1,1,"U"
"E01000168","E01000168","E01000168_E01000168",1506,1506,1506,1,1,"U"
"E01000169","E01000169","E01000169_E01000169",1638,1638,1638,1,1,"U"
"E01000170","E01000170","E01000170_E01000170",1873,1873,1873,1,1,"U"
"E01000171","E01000171","E01000171_E01000171",2283,2283,2283,1,1,"U"
"E01000172","E01000172","E01000172_E01000172",1667,1667,1667,1,1,"U"
"E01000173","E01000173","E01000173_E01000173",1689,1689,1689,1,1,"U"
"E01000174","E01000174","E01000174_E01000174",1775,1775,1775,1,1,"U"
"E01000175","E01000175","E01000175_E01000175",2043,2043,2043,1,1,"U"
"E01000176","E01000176","E01000176_E01000176",1721,1721,1721,1,1,"U"
"E01000177","E01000177","E01000177_E01000177",1686,1686,1686,1,1,"U"
"E01000178","E01000178","E01000178_E01000178",1618,1618,1618,1,1,"U"
"E01000179","E01000179","E01000179_E01000179",1799,1799,1799,1,1,"U"
"E01000180","E01000180","E01000180_E01000180",1654,1654,1654,1,1,"U"
"E01000181","E01000181","E01000181_E01000181",1682,1682,1682,1,1,"U"
"E01000182","E01000182","E01000182_E01000182",1631,1631,1631,1,1,"U"
"E01000183","E01000183","E01000183_E01000183",1486,1486,1486,1,1,"U"
"E01000184","E01000184","E01000184_E01000184",1872,1872,1872,1,1,"U"
"E01000185","E01000185","E01000185_E01000185",1458,1458,1458,1,1,"U"
"E01000186","E01000186","E01000186_E01000186",1769,1769,1769,1,1,"U"
"E01000187","E01000187","E01000187_E01000187",1734,1734,1734,1,1,"U"
"E01000188","E01000188","E01000188_E01000188",1577,1577,1577,1,1,"U"
"E01000189","E01000189","E01000189_E01000189",2486,2486,2486,1,1,"U"
"E01000190","E01000190","E01000190_E01000190",1717,1717,1717,1,1,"U"
"E01000191","E01000191","E01000191_E01000191",1543,1543,1543,1,1,"U"
"E01000192","E01000192","E01000192_E01000192",2024,2024,2024,1,1,"U"
"E01000193","E01000193","E01000193_E01000193",1915,1915,1915,1,1,"U"
"E01000194","E01000194","E01000194_E01000194",1925,1925,1925,1,1,"U"
"E01000195","E01000195","E01000195_E01000195",2018,2018,2018,1,1,"U"
